MiNg_100_CAISO,MiNg_150_CAISO,MiNg_100_ERCOT,MiNg_150_ERCOT,MiNg_100_MISO-W,MiNg_150_MISO-W,MiNg_100_NYISO,MiNg_150_NYISO,MiNg_100_PJM-W,MiNg_150_PJM-W,BaseCaseTax,HighWindTax,HighSolarTax,WinterNYTax
94.36,109.3,84.87,102.19,64.72,70.92,1.05,0,75,98.75,62.25,59.16,62.41,55.98
94.36,109.3,84.87,102.19,63.74,70.96,1.36,0,75.04,98.75,62.25,58.84,62.41,55.98
94.36,109.3,85.71,102.19,64.52,70.86,1.36,0.12,75.04,98.74,62.25,59.79,62.41,55.98
94.35,109.3,85.71,102.53,60.08,70.7,1.36,0.13,74.74,98.26,62.25,58.84,67.35,55.98
94.35,109.3,73.6,97.06,56.45,1.68,1.36,0.12,63.53,82.71,70.2,54.2,88.91,55.98
91.7,106.52,69.94,88.52,1.23,0,1.04,0,61.99,81.02,54.2,58.84,46.68,54.2
73.21,86.78,65.05,87.21,1.05,0,1.04,0,61.97,81.37,54.2,58.84,46.68,54.2
0,0,64.25,87.2,1.38,0,1.29,0,61.95,81.53,46.68,64.75,46.68,54.2
0,0,63.66,85.67,1.32,0,1.04,0,61.93,81.48,46.68,66.75,46.68,41.98
0,0,63.6,85.73,1.27,0,0.96,0,61.98,81.36,46.68,58.84,27.44,9.19
0,0,62.64,85.38,0.94,0,1.04,0,61.96,81.36,46.68,54.2,9.19,41.98
0,0,61.44,83.04,0.88,0,72.36,93.99,70.55,93.37,46.68,54.2,9.19,54.2
0,0,61.45,82.81,0.86,0.01,85.71,107.85,81.66,106.39,46.68,46.68,46.68,54.2
0,0,71.91,96.06,1.17,0.01,85.71,107.85,81.63,106.48,46.68,44.13,44.57,41.98
84.35,101.9,71.91,96.06,1.11,0.01,85.71,107.85,81.63,106.48,46.68,0,46.68,54.2
94.37,111.4,71.89,96.05,1.01,0.01,85.71,107.85,81.61,106.47,9.19,0,46.68,54.2
94.37,111.4,65.81,95.48,1,0.01,85.71,107.84,81.56,106.43,9.19,0,46.68,54.2
94.37,111.4,61.27,89.66,0.08,0.01,85.71,107.84,81.55,106.31,17.81,0,46.68,55.98
94.37,111.4,61.53,84.61,0,0,85.68,107.79,81.48,106.31,46.68,0,46.68,55.98
90.29,105.43,58.03,79.03,0,0,76.56,101.69,77.93,102.75,46.68,44.13,46.68,55.98
90.29,105.43,57.99,79.16,0,0,72.35,101.51,77.66,102.72,54.2,46.68,54.2,55.98
90.29,105.43,58.08,79.16,0,0,71.07,91.6,77.67,102.58,57.76,58.84,62.25,136.57
90.29,105.42,58.08,79.11,0,0,69.96,91.6,77.71,102.62,116.98,58.84,102.21,55.98
90.29,105.42,57.88,78.88,0,0,71.07,91.6,77.86,102.99,62.25,58.84,62.41,55.98
90.29,105.42,57.78,87.13,0,0,71.07,91.6,78.24,103.2,62.25,54.2,62.41,55.98
90.29,105.42,62.24,90.94,0,0,75.99,96.56,78.46,103.19,62.25,46.68,62.41,55.98
